repo,num_downstream_repos,num_commits,num_authors,age,stars,package_domain,sub_domain,No.layer,dependences,supply_chain_name
tensorflow_tensorflow,330472,106087,4679,49,139939,NDR,Framework (DL*),1,37,tensorflow
pytorch_pytorch,127874,84793,2489,95,31881,NDR,Framework (DL*),1,103,torch
lanpa_tensorboardX,11347,828,97,30,5495,NDR,Tools (DL*),2,,tensorflow
lanpa_tensorboardX,11298,828,97,30,5495,NDR,Tools (DL*),2,,torch
OuYanghaoyue_gym_contra,2897,39,2,5,,DR,Reinforcement Learning,2,,tensorflow
bamos_block,1894,52,7,34,229,NDR,Framework (DL*),2,1,torch
keras-team_keras-applications,1566,193,27,18,991,DR,CV,2,2,tensorflow
IljaManakov_PyTorch-Trainer,1421,121,4,10,,,,2,,torch
onnx_onnx-coreml,1285,1123,35,25,229,NDR,Tools (DL*),3,7,tensorflow
tensorflow_serving,1113,4990,272,46,3835,NDR,Tools (DL*),2,,tensorflow
tf-coreml_tf-coreml,1004,457,48,26,1094,NDR,Tools (DL*),2,5,tensorflow
onnx_onnx-coreml,970,1123,35,25,229,NDR,Tools (DL*),2,7,torch
albu_albumentations,874,770,53,18,,DR,CV,2,,torch
uber_hypothesis-gufunc,759,56,1,5,13,DR,,2,76,torch
RetroRabbit_skip_thoughts,606,12,8,27,,DR,NLP,2,,tensorflow
vivek3141_ml,532,399,1,16,10,NDR,Wrapper (DL*),2,3,tensorflow
dmlc_gluon-cv,514,3015,124,22,2995,DR,CV,2,,torch
pytorch_audio,513,293,43,31,643,DR,Audio,2,12,torch
google_nucleus,464,365,11,21,505,DR,Biology,2,9,tensorflow
EvilPsyCHo_TaskBot,459,28,3,17,24,DR,NLP,2,1,torch
google_gin-config,457,122,14,21,553,NDR,Tools (DL*),2,1,tensorflow
GPflow_GPflow,414,4566,122,47,1051,NDR,Model (DL*),2,18,tensorflow
for-ai_cloud,384,169,9,14,18,NDR,Tools (DL*),2,3,tensorflow
taomanwai_tensorboardcolab,368,20,4,19,117,NDR,Tools (DL*),2,,tensorflow
dmlc_gluon-Computer Vision,365,0,0,-1,,DR,CV,3,,tensorflow
richardliaw_track,315,74,5,18,12,NDR,Tools (DL*),2,3,tensorflow
dmlc_tvm,302,14360,475,42,,NDR,Tools (DL*),2,,tensorflow
dmlc_tvm,301,14360,475,42,,NDR,Tools (DL*),2,,torch
yngtodd_segment,290,292,3,16,1,DR,Medicine,2,,torch
yngtodd_segment,283,292,3,16,1,DR,Medicine,2,,tensorflow
wau_keras-rl2,276,20,6,7,8,DR,Reinforcement Learning,2,4,tensorflow
